date,price,volume,change_rate
2024-12-10,96663.7,27025237246.0,-0.71
2024-12-09,97359.4,31253340994.0,-3.72
2024-12-08,101115.8,13036860094.0,1.28
2024-12-07,99837.0,11824694280.0,0.08
2024-12-06,99760.7,21297911843.0,2.88
2024-12-05,96970.8,23834452932.0,-1.69
2024-12-04,98635.8,11221794966.0,2.85
2024-12-03,95898.7,9118048396.0,0.05
2024-12-02,95846.6,9182104280.0,-1.39
2024-12-01,97201.4,4169940059.9999995,0.83
2024-11-30,96405.7,3559298444.0,-1.06
2024-11-29,97438.0,7457904520.0,1.87
2024-11-28,95645.5,6520153735.0,-0.25
2024-11-27,95886.6,10201375374.0,4.25
2024-11-26,91977.6,12130005888.0,-1.17
2024-11-25,93064.4,11631188712.0,-4.97
2024-11-24,97935.2,7544927808.0,0.24
2024-11-23,97699.0,7050936830.0,-1.24
2024-11-22,98929.7,13081474231.0,0.56
2024-11-21,98374.5,17615921715.0,4.32
2024-11-20,94303.9,11454151694.0,2.24
2024-11-19,92239.2,13470612768.0,1.95
2024-11-18,90478.7,13614329989.0,0.72
2024-11-17,89833.7,7298089788.0,-0.78
2024-11-16,90539.1,7226830962.0,-0.56
2024-11-15,91046.5,14402645835.0,4.3
2024-11-14,87294.0,13385661960.0,-3.46
2024-11-13,90422.2,23290046054.0,2.82
2024-11-12,87941.3,25386894484.0,-0.82
2024-11-11,88664.1,22524227964.0,10.29
2024-11-10,80388.5,15581702955.0,4.81
2024-11-09,76700.3,5596820891.0,0.24
2024-11-08,76517.3,11873189441.0,0.85
2024-11-07,75868.6,13971961376.000002,0.37
2024-11-06,75586.3,27005473264.0,8.96
2024-11-05,69373.7,7558264615.0,2.25
2024-11-04,67848.8,6873761928.0,-1.34
2024-11-03,68769.6,5718879936.000001,-0.8
2024-11-02,69325.8,2684294976.0,-0.26
2024-11-01,69507.2,9067909312.0,-1.1
2024-10-31,70281.8,7821661522.0,-2.86
2024-10-30,72347.8,7166049590.0,-0.53
2024-10-29,72730.4,12262345439.999998,3.97
2024-10-28,69954.1,7273127777.000001,2.87
2024-10-27,68004.6,2283594468.0,1.37
2024-10-26,67086.8,2820999940.0,0.58
2024-10-25,66696.8,7370663368.0,-2.19
2024-10-24,68191.5,5644892370.0,2.29
2024-10-23,66663.7,5665747863.0,-1.13
2024-10-22,67427.3,5849992548.0,0.08
2024-10-21,67371.3,7362335664.0,-2.4
2024-10-20,69030.5,3100850060.0,0.96
2024-10-19,68372.0,2276103880.0,-0.07
2024-10-18,68423.1,6787571520.000001,1.49
2024-10-17,67418.4,5708990111.999999,-0.3
2024-10-16,67617.9,6646839569.999999,0.81
2024-10-15,67077.5,9170835800.0,1.51
2024-10-14,66081.7,8067914753.0,5.11
2024-10-13,62870.9,2656924234.0,-0.53
2024-10-12,63205.1,2585720641.0,1.13
2024-10-11,62499.4,5398698172.0,3.62
2024-10-10,60316.2,5058116532.0,-0.52
2024-10-09,60628.8,4170655152.0,-2.46
2024-10-08,62157.0,3962508750.0,-0.14
2024-10-07,62245.6,5369927912.0,-0.91
2024-10-06,62819.4,1992631368.0,1.22
2024-10-05,62061.4,1871151210.0,-0.03
2024-10-04,62081.0,4513909510.0,2.19
2024-10-03,60751.2,5007721416.0,0.17
2024-10-02,60645.7,6000285558.0,-0.31
2024-10-01,60835.5,8208534015.0,-3.95
2024-09-30,63339.2,6441596640.0,-3.46
2024-09-29,65607.1,2138791460.0000002,-0.39
2024-09-28,65866.5,2305327500.0,0.14
2024-09-27,65776.3,5298280965.0,0.92
2024-09-26,65175.7,6260777742.0,3.2
2024-09-25,63156.5,3961175680.0,-1.71
2024-09-24,64256.8,4929139128.0,1.46
2024-09-23,63331.8,4791683988.0,-0.38
2024-09-22,63572.7,3106162122.0,0.35
2024-09-21,63348.1,2103156920.0,0.23
2024-09-20,63201.2,5729188780.0,0.42
2024-09-19,62938.6,7563331562.0,1.91
2024-09-18,61757.6,6519749832.0,2.4
2024-09-17,60309.1,6410857330.0,3.6
2024-09-16,58213.1,5099467560.0,-1.56
2024-09-15,59138.5,2780100885.0,-1.43
2024-09-14,59995.4,2667995438.0,-0.85
2024-09-13,60511.6,6179444592.0,4.09
2024-09-12,58134.5,5721597490.0,1.39
2024-09-11,57338.7,5857148205.0,-0.51
2024-09-10,57635.0,4475357750.0,1.03
2024-09-09,57049.6,6009034368.0,3.99
2024-09-08,54861.3,2852238987.0,1.3
2024-09-07,54156.5,3147034215.0,0.35
2024-09-06,53966.8,8410186112.0,-3.94
2024-09-05,56183.2,5076713952.0,-3.09
2024-09-04,57973.4,6286635496.0,0.86
2024-09-03,57479.8,4297764646.0,-2.8
2024-09-02,59134.0,4327426120.0,3.17
2024-09-01,57315.7,3665339015.0,-2.82
2024-08-31,58978.6,1820079596.0,-0.24
2024-08-30,59119.7,5161741007.0,-0.43
2024-08-29,59373.5,5176775465.0,0.61
2024-08-28,59016.0,6460481520.0,-0.73
2024-08-27,59450.9,6452206177.0,-5.4
2024-08-26,62846.2,4329474718.0,-2.22
2024-08-25,64273.2,2674407852.0,0.18
2024-08-24,64159.3,3473584502.0,0.17
2024-08-23,64053.1,8038664050.0,6.1
2024-08-22,60372.2,4491087958.0,-1.29
2024-08-21,61158.1,5584346111.0,3.65
2024-08-20,59005.8,4116834666.0,-0.78
2024-08-19,59470.9,2925373571.0,1.75
2024-08-18,58446.3,1801314966.0,-1.74
2024-08-17,59483.1,1101032181.0,1.03
2024-08-16,58877.2,3768729572.0000005,2.33
2024-08-15,57534.6,4687343862.0,-2.0
2024-08-14,58707.8,3803678362.0000005,-3.11
2024-08-13,60595.2,3812649984.0,2.1
2024-08-12,59350.0,4707048500.0,1.08
2024-08-11,58713.3,2410768098.0,-3.64
2024-08-10,60931.7,1395945247.0,0.13
2024-08-09,60850.6,4232159230.0,-1.38
2024-08-08,61699.7,6772776069.0,11.94
2024-08-07,55120.9,5210027468.0,-1.67
2024-08-06,56057.8,6384422842.0,3.85
2024-08-05,53979.0,17999837340.0,-7.16
2024-08-04,58141.8,4227490278.0,-4.21
2024-08-03,60696.7,3990201058.0,-1.27
2024-08-02,61478.7,5772235143.0,-5.96
2024-08-01,65372.9,5504398180.0,1.16
2024-07-31,64626.0,3329531520.0,-2.36
2024-07-30,66184.9,3602444106.9999995,-0.92
2024-07-29,66798.7,5722644629.0,-2.14
2024-07-28,68256.3,1786267371.0,0.61
2024-07-27,67843.1,4612652369.0,-0.1
2024-07-26,67908.6,4015435518.0000005,3.21
2024-07-25,65799.3,5096813778.0,0.66
2024-07-24,65370.5,3429990135.0,-0.86
2024-07-23,65937.8,4587952124.0,-2.39
2024-07-22,67553.6,3707341568.0000005,-0.89
2024-07-21,68158.7,3216409053.0,1.5
2024-07-20,67148.5,2211871590.0,0.71
2024-07-19,66677.4,5525556137.999999,4.22
2024-07-18,63980.5,3280280235.0,-0.17
2024-07-17,64089.2,4236937012.0,-1.48
2024-07-16,65049.7,6090603411.0,0.41
2024-07-15,64782.4,6220406048.0,6.56
2024-07-14,60794.9,2886541852.0,2.68
2024-07-13,59209.8,2029711944.0,2.29
2024-07-12,57885.1,3290189084.0,0.96
2024-07-11,57337.3,3807196720.0,-0.71
2024-07-10,57746.7,3441703320.0,-0.5
2024-07-09,58039.4,3729031450.0,2.32
2024-07-08,56724.7,5837538877.0,1.55
2024-07-07,55861.1,2297008432.0,-4.12
2024-07-06,58259.2,2732939072.0,2.86
2024-07-05,56641.8,9941202318.0,-0.67
2024-07-04,57026.3,6636720794.0,-5.27
2024-07-03,60199.3,4415016662.0,-3.07
2024-07-02,62103.3,2889045516.0,-1.25
2024-07-01,62890.1,3769632594.0,0.22
2024-06-30,62754.3,2335087503.0,2.92
2024-06-29,60973.4,1619453504.0,0.94
2024-06-28,60403.3,3560774535.0,-2.08
2024-06-27,61685.3,3009625787.0,1.37
2024-06-26,60849.4,3343674530.0,-1.55
2024-06-25,61809.4,4776630432.0,2.52
2024-06-24,60292.7,7271299620.0,-4.59
2024-06-23,63196.2,1260132228.0,-1.66
2024-06-22,64261.0,1127780550.0,0.21
2024-06-21,64128.5,3902860510.0,-1.12
2024-06-20,64854.3,3647405832.0,-0.19
2024-06-19,64980.9,2791579464.0,-0.27
2024-06-18,65159.9,6106785828.0,-2.01
2024-06-17,66498.8,4394905692.0,-0.26
2024-06-16,66674.7,1382833278.0,0.68
2024-06-15,66223.0,1592663150.0,0.29
2024-06-14,66034.8,4304148264.000001,-1.11
2024-06-13,66773.1,4431062916.0,-2.18
2024-06-12,68260.1,5839651555.000001,1.4
2024-06-11,67319.8,6509824660.0,-3.19
2024-06-10,69538.2,2720334384.0,-0.16
2024-06-09,69650.6,1461966094.0000002,0.49
2024-06-08,69310.1,1596211603.0000002,-0.05
2024-06-07,69347.9,5729523497.999999,-2.04
2024-06-06,70791.5,3524708785.0,-0.41
2024-06-05,71083.7,4766872922.0,0.76
2024-06-04,70549.2,5339868948.0,2.53
2024-06-03,68807.8,4776637476.0,1.53
2024-06-02,67773.5,2075902305.0,0.02
2024-06-01,67760.8,1288132808.0,0.34
2024-05-31,67530.1,4153776451.0000005,-1.21
2024-05-30,68354.7,4568828148.0,1.06
2024-05-29,67635.8,3525854254.0,-1.07
2024-05-28,68366.0,4880648740.0,-1.53
2024-05-27,69428.7,3406866309.0,1.33
2024-05-26,68514.8,1684093784.0,-1.11
